Image,Size,Alt Text
microphone.png,700px,"Smiling woman holding a microphone, wearing a colorful floral shirt."
microphone.png,500px,error
microphone.png,300px,"Smiling woman holding a microphone, wearing a striped floral top."
microphone.png,200px,"Smiling woman holding a microphone, wearing a floral-striped top."
microphone.png,100px,"Smiling woman with short hair holding a microphone, wearing a striped floral top."
microphone.png,50px,"Woman smiling while speaking into a microphone, wearing a floral patterned top."
microphone.png,25px,"A woman singing into a microphone, wearing a colorful, patterned outfit."
microphone.png,10px,"A person gestures with a hand raised to their forehead, smiling."
women_in_tech_global_conference_logo_for_dark_background.png,700px,Logo for the Women in Tech Global Conference 2025 with a gradient banner.
women_in_tech_global_conference_logo_for_dark_background.png,500px,"Text logo for ""Women in Tech Global Conference 2025"" in bold font."
women_in_tech_global_conference_logo_for_dark_background.png,300px,"Text logo: ""Women in Tech Global Conference 2025"" with gradient background."
women_in_tech_global_conference_logo_for_dark_background.png,200px,"Logo for the Women in Tech Global Conference 2025, featuring bold text and gradient colors."
women_in_tech_global_conference_logo_for_dark_background.png,100px,Women in Tech Global Conference 2023 logo with vibrant colors.
women_in_tech_global_conference_logo_for_dark_background.png,50px,"Logo for ""Women in Tech"" featuring bold text and colorful gradient background."
women_in_tech_global_conference_logo_for_dark_background.png,25px,Colorful logo with stylized letters and abstract shapes.
women_in_tech_global_conference_logo_for_dark_background.png,10px,Three nail polish bottles in varying shades of purple and blue on a white background.
pixel.png,700px,"Three abstract circles connected with lines, resembling a network or system diagram."
pixel.png,500px,Decorative floral design in black silhouette on a white background.
pixel.png,300px,"Red and white heart symbol with a simple, smooth design."
pixel.png,200px,"A simple, black outline of a person in a wheelchair."
pixel.png,100px,Black silhouette of a person holding a megaphone.
pixel.png,50px,A minimalist black and white graphic of a light bulb.
pixel.png,25px,Simple geometric black logo resembling a stylized tree or plant.
pixel.png,10px,A stylized black cat silhouette with an arched back and a curled tail.
Decriminalize.png,700px,"Woman with curly hair gazes through a chain-link fence, soft sunlight casting shadows."
Decriminalize.png,500px,"A young woman with curly hair gazes through a chain-link fence, sunlight casting shadows on her face."
Decriminalize.png,300px,"A young woman gazes through a chain-link fence, soft sunlight casting shadows on her face."
Decriminalize.png,200px,"A young woman gazes through a chain-link fence, sunlight casting shadows on her face."
Decriminalize.png,100px,A young woman with a serene expression gazes through a chain-link fence.
Decriminalize.png,50px,"A close-up of a woman looking through a mesh fence, with a thoughtful expression."
Decriminalize.png,25px,A smiling woman with long hair gestures playfully outdoors.
Decriminalize.png,10px,"A close-up of a smiling young person with long hair, outdoors with a blurred background."
LOGO_CFA_RGB.png,700px,"Colorful logo featuring a map of the Americas and the text ""CENTRE DE LA FRANCOPHONIE DES AMERIQUES""."
LOGO_CFA_RGB.png,500px,Logo of the Centre de la Francophonie des Amériques with a colorful globe design.
LOGO_CFA_RGB.png,300px,Logo of the Centre de la Francophonie des Amériques with a globe and colorful arc.
LOGO_CFA_RGB.png,200px,Colorful logo featuring a map of the Americas with an orbiting ring and French text.
LOGO_CFA_RGB.png,100px,Colorful logo featuring a globe with orbit lines and text below.
LOGO_CFA_RGB.png,50px,Colorful logo featuring abstract shapes and a dynamic design.
LOGO_CFA_RGB.png,25px,Colorful abstract logo featuring a dynamic bird-like shape in vibrant hues.
LOGO_CFA_RGB.png,10px,"Abstract graphic with vibrant colors and shapes, featuring blue, yellow, and orange hues."
MainPage_HeadBanner_Bicycle_desktop1.webp,700px,Two cyclists smile while riding on a bike lane beside a street lined with cafes.
MainPage_HeadBanner_Bicycle_desktop1.webp,500px,Two smiling cyclists ride on a bike lane beside a lively street.
MainPage_HeadBanner_Bicycle_desktop1.webp,300px,Two cyclists smile while riding on a bike lane next to a street lined with cars and shops.
MainPage_HeadBanner_Bicycle_desktop1.webp,200px,"Two cyclists ride on a bike lane, surrounded by cars and outdoor dining."
MainPage_HeadBanner_Bicycle_desktop1.webp,100px,Two women riding bicycles on a bike lane next to a city street.
MainPage_HeadBanner_Bicycle_desktop1.webp,50px,"Two women walking side by side on a sidewalk, enjoying their time outdoors."
MainPage_HeadBanner_Bicycle_desktop1.webp,25px,"Two women walking on a city street, one in a red dress, with blurred background."
MainPage_HeadBanner_Bicycle_desktop1.webp,10px,"A blurred indoor scene with two people interacting, soft lighting, and warm tones."
